"year","deaths"
"1950","33"
"1951","35"
"1952","36"
"1953","36"
"1954","33"
"1955","36"
"1956","37"
"1957","36"
"1958","35"
"1959","36"
"1960","36"
"1961","36"
"1962","38"
"1963","41"
"1964","45"
"1965","47"
"1966","50"
"1967","50"
"1968","52"
"1969","53"
"1970","52"
"1971","52"
"1972","54"
"1973","54"
"1974","45"
"1975","44"
"1976","45"
"1977","47"
"1978","50"
"1979","51"
"1980","51"
"1981","49"
"1982","43"
"1983","42"
"1984","44"
"1985","43"
"1986","46"
"1987","46"
"1988","47"
"1989","45"
"1990","44"
"1991","41"
"1992","39"
"1993","40"
"1994","40"
"1995","41"
"1996","42"
"1997","42"
"1998","41"
"1999","41"
"2000","41"
"2001","42"
"2002","43"
"2003","42"
"2004","42"
"2005","43"
"2006","42"
"2007","41"
"2008","37"
"2009","33"
"2010","32"
"2011","32"
"2012","33"
"2013","32"
"2014","32"
"2015","35"
"2016","37"
"2017","37"
"2018","36"
"2019","36"
"2020","38"
"2021","43"
"2022","42"
